PC1,PC2,species
3.621,0.380,3
0.365,-0.565,2
1.016,0.302,2
2.388,0.284,3
-2.565,-0.066,1
2.731,0.284,3
2.673,0.221,3
2.260,-0.266,3
-2.477,0.276,1
-2.897,-0.285,1
-2.716,-0.036,1
0.082,-0.727,2
2.221,0.323,3
1.028,-0.209,2
1.207,0.256,2
0.399,-0.361,2
-2.614,0.377,1
1.046,0.440,2
3.368,1.301,3
-2.514,0.211,1
0.331,-0.416,2
1.395,-0.795,3
-2.501,0.859,1
1.584,0.466,2
2.540,0.324,3
-2.423,0.625,1
2.454,-0.092,3
0.827,0.127,2
2.426,-0.299,3
0.026,-0.711,2
-2.612,-0.201,1
0.752,-0.002,2
1.043,-0.571,2
-2.756,0.121,1
-2.483,-0.158,1
2.276,0.166,3
-2.658,0.315,1
-2.400,-0.102,1
-2.159,0.783,1
0.465,-0.083,2
-2.359,0.176,1
2.527,0.252,3
-2.883,-0.432,1
0.436,-0.225,2
1.906,-0.259,3
1.338,0.375,2
-2.609,-0.128,1
-2.504,0.646,1
-2.428,0.480,1
-2.790,-0.525,1
-2.192,0.431,1
1.198,0.045,2
-2.504,0.063,1
-0.073,-0.257,2
-2.296,0.234,1
1.509,-0.608,3
2.633,-0.063,3
1.447,0.208,2
-2.420,0.551,1
-2.565,-0.066,1
-2.294,0.453,1
-0.204,-0.370,2
1.479,-0.455,2
-0.094,-0.684,2
2.075,-0.225,3
-3.107,0.195,1
1.091,-0.151,2
3.911,0.171,3
-2.512,1.226,1
-2.248,0.006,1
1.219,-0.111,2
0.454,-0.518,2
3.051,0.287,3
0.347,-0.278,2
-2.760,-0.890,1
-2.470,0.562,1
-0.662,-0.995,2
-3.126,-0.451,1
3.518,0.473,3
-2.593,0.157,1
-2.643,-0.268,1
2.735,0.500,3
3.198,0.617,3
0.143,-0.592,2
-2.736,-0.175,1
0.998,-0.059,2
-2.446,0.414,1
0.918,-0.398,2
0.742,-0.437,2
-2.385,0.690,1
0.274,-0.838,2
0.340,-0.346,2
-2.093,0.478,1
1.626,-0.413,3
2.421,0.132,3
0.916,0.174,2
2.225,-0.258,3
-2.681,-0.185,1
2.249,0.095,3
2.509,0.407,3
0.917,-0.186,2
1.159,0.199,2
1.409,0.650,2
-2.565,-0.066,1
1.871,0.038,3
-2.524,0.359,1
2.960,0.308,3
-2.784,-0.091,1
1.671,0.229,2
0.478,-0.306,2
-2.534,0.360,1
-2.194,0.140,1
1.401,-0.362,2
0.684,-0.499,2
2.058,-0.004,3
-0.617,-1.004,2
-2.073,0.911,1
-0.816,-0.743,2
-2.569,0.368,1
0.260,-0.691,2
0.616,-0.119,2
-2.527,-0.149,1
0.560,-0.686,2
1.509,-0.608,3
2.013,0.005,3
3.619,1.099,3
1.435,-0.808,3
0.238,-0.324,2
1.046,0.293,2
3.036,0.720,3
0.759,-0.370,2
