PC1,PC2,species
3.499,0.457,3
0.262,-0.548,2
0.900,0.330,2
2.276,0.333,3
-2.674,-0.107,1
2.616,0.342,3
2.563,0.276,3
2.159,-0.218,3
-2.590,0.236,1
-2.998,-0.334,1
-2.821,-0.082,1
-0.010,-0.721,2
2.108,0.371,3
0.921,-0.182,2
1.095,0.284,2
0.298,-0.347,2
-2.729,0.334,1
-0.511,-1.262,2
0.928,0.468,2
1.443,-0.144,3
3.232,1.371,3
-2.626,0.170,1
0.229,-0.402,2
1.298,-0.761,3
-2.623,0.818,1
1.464,0.504,2
2.428,0.377,3
-2.543,0.586,1
0.519,-1.191,3
2.350,-0.042,3
0.714,0.150,2
2.320,-0.246,3
-0.070,-0.703,2
-2.716,-0.243,1
0.642,0.019,2
0.942,-0.542,2
-2.867,0.077,1
-2.588,-0.197,1
1.902,0.116,3
1.388,-0.204,3
1.780,-0.501,3
2.165,0.215,3
-2.770,0.271,1
-2.508,-0.139,1
-2.280,0.748,1
0.357,-0.067,2
-2.469,0.138,1
2.419,0.304,3
-2.982,-0.480,1
0.331,-0.211,2
1.802,-0.216,3
1.220,0.408,2
1.198,-0.606,3
-2.715,-0.170,1
-2.625,0.607,1
-2.543,0.440,1
-2.888,-0.571,1
-2.311,0.398,1
1.087,0.075,2
-2.613,0.022,1
-0.175,-0.252,2
-2.406,0.196,1
1.414,-0.575,3
-2.384,1.345,1
2.532,-0.012,3
1.331,0.245,2
-2.538,0.510,1
-2.648,0.820,1
-2.674,-0.107,1
-2.410,0.418,1
-0.307,-0.365,2
1.379,-0.421,2
-0.192,-0.677,2
1.971,-0.181,3
1.390,-0.283,3
1.169,-0.165,3
-3.216,0.142,1
0.984,-0.124,2
3.795,0.253,3
-2.644,1.186,1
-2.356,-0.031,1
1.116,-0.084,2
0.356,-0.503,2
2.932,0.352,3
0.245,-0.267,2
1.662,0.242,3
1.585,-0.539,3
-2.852,-0.933,1
-2.587,0.520,1
-0.751,-1.001,2
-3.225,-0.503,1
3.397,0.547,3
-2.704,0.115,1
-2.746,-0.311,1
2.614,0.558,3
3.077,0.686,3
0.043,-0.581,2
-2.840,-0.221,1
0.890,-0.034,2
-2.562,0.375,1
0.813,-0.371,2
1.944,0.187,3
1.291,-0.116,3
0.640,-0.417,2
1.258,-0.179,3
1.922,0.409,3
-2.507,0.652,1
0.181,-0.826,2
0.235,-0.332,2
-2.209,0.443,1
1.526,-0.375,3
2.314,0.183,3
0.807,0.195,2
2.123,-0.211,3
-2.787,-0.228,1
2.145,0.139,3
2.388,0.463,3
0.812,-0.162,2
1.043,0.229,2
1.285,0.685,2
-2.674,-0.107,1
1.764,0.079,3
-2.640,0.319,1
1.905,0.119,3
2.841,0.373,3
-2.890,-0.137,1
1.557,0.267,2
0.375,-0.292,2
-2.648,0.319,1
-2.303,0.106,1
1.296,-0.328,2
0.587,-0.483,2
1.949,0.041,3
-0.707,-1.008,2
-2.199,0.879,1
-0.908,-0.752,2
-2.684,0.327,1
0.165,-0.680,2
0.511,-0.102,2
-2.633,-0.190,1
0.463,-0.670,2
1.414,-0.575,3
1.905,0.048,3
-2.597,1.100,1
3.489,1.172,3
1.345,-0.776,3
0.135,-0.312,2
0.932,0.319,2
2.918,0.780,3
0.660,-0.352,2
